scenario_id,target_id,task,model,logloss,brier,auc,balanced_accuracy,macro_f1,mae,rmse,r2,direction_accuracy,n_matured,n_pending,n_trades,n_skipped,n_unrealized,total_pnl,return_on_bankroll,return_on_turnover,win_rate,avg_pnl,max_drawdown,pnl_per_trade_std
CRY01,final_outcome_yes,classification,limix,0.10494913636363634,0.07282057071081818,0.9904761904761905,0.9666666666666667,0.9494252873563218,,,,,22,132,25.0,10.0,22.0,39.022894380963635,0.0039022894380963636,0.015609157752385455,0.32,1.5609157752385454,523.7329251304608,123.54821604669112
CRY01,final_outcome_yes,classification,base_rate,0.7363980909090908,0.543085935909091,0.5,0.5,0.2413793103448276,,,,,22,132,90.0,64.0,82.0,-4260.685553636229,-0.4260685553636229,-0.47340950595958103,0.07777777777777778,-47.3409505959581,4260.685553636231,74.77696790895673
CRY01,final_outcome_yes,classification,price_unchanged,,,,,,,,,,0,0,,,,,,,,,,
CRY01,final_outcome_yes,classification,mean_reversion,,,,,,,,,,0,0,,,,,,,,,,
CRY01,final_outcome_yes,classification,momentum,,,,,,,,,,0,0,,,,,,,,,,
CRY02,final_outcome_yes,classification,limix,0.6743935,0.48124882160900007,,1.0,1.0,,,,,2,2,4.0,0.0,2.0,126.15322724834618,0.012615322724834618,0.3153830681208655,0.5,31.538306812086546,61.764705882352935,106.5615947017755
CRY02,final_outcome_yes,classification,base_rate,0.664037,0.470898246722,,1.0,1.0,,,,,2,2,2.0,0.0,0.0,246.42857142857144,0.024642857142857143,1.2321428571428572,1.0,123.21428571428572,0.0,21.044844678171057
CRY02,final_outcome_yes,classification,price_unchanged,,,,,,,,,,0,0,,,,,,,,,,
CRY02,final_outcome_yes,classification,mean_reversion,,,,,,,,,,0,0,,,,,,,,,,
CRY02,final_outcome_yes,classification,momentum,,,,,,,,,,0,0,,,,,,,,,,
DOM01,target_up_24h,classification,limix,0.9559387142857142,0.5321572311669411,0.7449559527352081,0.5916705516705517,0.5998530276308054,,,,,119,518,74.0,330.0,0.0,214.6871939510968,0.02146871939510968,0.02901178296636443,0.5405405405405406,2.901178296636443,227.9599891699196,26.776282502996448
DOM01,target_up_24h,classification,base_rate,1.1117189327731096,0.6756246627184372,0.46475246532427383,0.3011965811965812,0.19985001874765654,,,,,119,518,0.0,194.0,0.0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,classification,price_unchanged,2.3885112016806707,1.3578571428571429,0.5,0.3333333333333333,0.11574074074074074,,,,,119,518,0.0,0.0,0.0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,classification,mean_reversion,1.235450369747899,0.7420292822558908,0.48895660781299083,0.33451437451437455,0.31865773843301937,,,,,119,518,37.0,244.0,0.0,-480.46961878175125,-0.04804696187817512,-0.12985665372479763,0.4594594594594595,-12.985665372479763,627.5060656250773,37.109653354872634
DOM01,target_up_24h,classification,momentum,1.1697355546218489,0.699070833366933,0.5496359565375523,0.3948096348096348,0.39510025809013305,,,,,119,518,17.0,207.0,0.0,-65.48072275794091,-0.006548072275794091,-0.03851807221055348,0.7058823529411765,-3.851807221055348,96.83139728150702,24.949834173239026
DOM01,target_delta_24h,regression,limix,,,,,,0.08545110619344536,0.15410909843348333,-0.5321660415008402,0.5294117647058824,119,518,52.0,360.0,0.0,33.829144067396896,0.0033829144067396896,0.006505604628345557,0.46153846153846156,0.6505604628345557,614.5281200511687,73.25650900174085
DOM01,target_delta_24h,regression,base_rate,,,,,,0.06941224005388383,0.12512547155400394,-0.010045010031510815,0.5462184873949579,119,518,97.0,540.0,0.0,1237.6508972645727,0.12376508972645726,0.12759287600665697,0.35051546391752575,12.759287600665697,1450.7821622787021,113.23178674809262
DOM01,target_delta_24h,regression,price_unchanged,,,,,,0.06582773109243695,0.12891030853682267,-0.07207351896932401,0.008403361344537815,119,518,0.0,0.0,0.0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,regression,mean_reversion,,,,,,0.09051890756302519,0.15730685269040676,-0.596410431923073,0.35294117647058826,119,518,43.0,94.0,0.0,1257.7048031595752,0.12577048031595753,0.29248948910687794,0.4418604651162791,29.248948910687798,659.6910301737578,155.4932979581589
DOM01,target_delta_24h,regression,momentum,,,,,,0.0738970588235294,0.13300875255524547,-0.1413260077524161,0.453781512605042,119,518,43.0,94.0,0.0,-525.726325899323,-0.0525726325899323,-0.12226193625565651,0.4883720930232558,-12.226193625565651,582.8564588582593,27.59273734871321
DOM01,final_outcome_yes,classification,limix,,,,,,,,,,0,0,,,,,,,,,,
DOM01,final_outcome_yes,classification,base_rate,,,,,,,,,,0,0,,,,,,,,,,
DOM01,final_outcome_yes,classification,price_unchanged,,,,,,,,,,0,0,,,,,,,,,,
DOM01,final_outcome_yes,classification,mean_reversion,,,,,,,,,,0,0,,,,,,,,,,
DOM01,final_outcome_yes,classification,momentum,,,,,,,,,,0,0,,,,,,,,,,
TRD01,target_up_1h,classification,limix,0.5724182629870129,0.3093522009214961,0.8058112037759858,0.4350506218927272,0.4449430545760949,,,,,1540,380,79.0,103.0,0.0,-48.275232043243214,-0.004827523204324322,-0.006110788866233318,0.21518987341772153,-0.6110788866233319,184.71572293553064,24.130823794944234
TRD01,target_up_1h,classification,base_rate,0.6556356772727272,0.34727776699905194,0.4703120219018917,0.3333333333333333,0.2966966966966967,,,,,1540,380,0.0,0.0,0.0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,classification,price_unchanged,0.6778046071428572,0.3516883116883116,0.5,0.3333333333333333,0.2966966966966967,,,,,1540,380,0.0,0.0,0.0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,classification,mean_reversion,0.627206461038961,0.3376039990001578,0.6333314880503945,0.3333333333333333,0.2966966966966967,,,,,1540,380,0.0,0.0,0.0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,classification,momentum,0.6421649344155844,0.3432220875024227,0.5988443786449783,0.3333333333333333,0.2966966966966967,,,,,1540,380,0.0,0.0,0.0,0.0,0.0,,,,0.0,
