scenario_id,target_id,model,n_trades,n_skipped,n_unrealized,total_pnl,return_on_bankroll,return_on_turnover,win_rate,avg_pnl,max_drawdown,pnl_per_trade_std
CRY01,final_outcome_yes,limix,49,19,39,-2296.3862911501965,-0.22963862911501964,-0.4686502635000401,0.10204081632653061,-46.86502635000401,2634.7675125091555,98.98093781120284
CRY01,final_outcome_yes,base_rate,183,122,146,-4160.704976639099,-0.4160704976639099,-0.22736092768519667,0.24043715846994534,-22.73609276851967,5241.703727271717,111.55697085838962
CRY01,final_outcome_yes,gbm,44,27,37,-752.4390748764187,-0.07524390748764187,-0.17100888065373152,0.4090909090909091,-17.10088806537315,771.90178814004,43.358479450953254
CRY01,final_outcome_yes,limix_cal,102,59,80,113.1350467457204,0.01131350467457204,0.011091671249580432,0.4019607843137255,1.1091671249580433,2156.1008447653776,122.79952523706234
CRY01,final_outcome_yes,logistic,38,16,30,-234.67837149608258,-0.023467837149608258,-0.06175746618317963,0.5526315789473685,-6.175746618317962,301.1074295771556,47.91419882701924
CRY01,final_outcome_yes,market,0,0,0,0.0,0.0,,,,0.0,
CRY02,final_outcome_yes,limix,9,0,3,-438.8222646918299,-0.04388222646918299,-0.48758029410203324,0.2222222222222222,-48.75802941020332,585.2508361204013,97.80927143150409
CRY02,final_outcome_yes,base_rate,4,0,0,46.428571428571445,0.004642857142857145,0.11607142857142862,0.5,11.607142857142861,200.0,129.44432887599095
CRY02,final_outcome_yes,gbm,7,0,3,-275.11804861804865,-0.027511804861804864,-0.3930257837400695,0.2857142857142857,-39.30257837400695,352.48168498168496,101.98231885381281
CRY02,final_outcome_yes,limix_cal,7,0,3,-238.82226469182987,-0.023882226469182987,-0.34117466384547124,0.2857142857142857,-34.11746638454712,385.25083612040135,107.84350306801402
CRY02,final_outcome_yes,logistic,2,0,2,-190.57692307692307,-0.019057692307692307,-0.9528846153846153,0.0,-95.28846153846153,190.57692307692307,0.0
CRY02,final_outcome_yes,market,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,limix,52,449,0,33.829144067396896,0.0033829144067396896,0.006505604628345557,0.46153846153846156,0.6505604628345557,614.5281200511687,73.25650900174085
DOM01,target_delta_24h,base_rate,97,730,0,1237.6508972645727,0.12376508972645726,0.12759287600665697,0.35051546391752575,12.759287600665697,1450.7821622787021,113.23178674809262
DOM01,target_delta_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,mean_reversion,43,145,0,1257.7048031595752,0.12577048031595753,0.29248948910687794,0.4418604651162791,29.248948910687798,659.6910301737578,155.4932979581589
DOM01,target_delta_24h,momentum,43,145,0,-525.726325899323,-0.0525726325899323,-0.12226193625565651,0.4883720930232558,-12.226193625565651,582.8564588582593,27.59273734871321
DOM01,target_up_24h,limix,74,449,0,214.6871939510968,0.02146871939510968,0.02901178296636443,0.5405405405405406,2.901178296636443,227.9599891699196,26.776282502996448
DOM01,target_up_24h,base_rate,0,384,0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_up_24h,mean_reversion,37,363,0,-480.46961878175125,-0.04804696187817512,-0.12985665372479763,0.4594594594594595,-12.985665372479763,627.5060656250773,37.109653354872634
DOM01,target_up_24h,momentum,17,326,0,-65.48072275794091,-0.006548072275794091,-0.03851807221055348,0.7058823529411765,-3.851807221055348,96.83139728150702,24.949834173239026
TRD01,target_up_1h,limix,106,150,0,-58.49079234257601,-0.0058490792342576,-0.00551799927760151,0.2641509433962264,-0.551799927760151,203.44271671219403,21.19190851161725
TRD01,target_up_1h,base_rate,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,price_unchanged,0,0,0,0.0,0.0,,,,0.0,
TRD01,target_up_1h,mean_reversion,0,0,0,0.0,0.0,,,,0.0,
