scenario_id,target_id,model,strategy,n_trades,n_skipped,n_unrealized,total_pnl,return_on_bankroll,return_on_turnover,win_rate,avg_pnl,max_drawdown,pnl_per_trade_std
CRY01,final_outcome_yes,limix,pure,92,43,40,3742.1297908245074,0.3742129790824507,0.4067532381330986,0.6739130434782609,40.675323813309866,1507.3901483666864,163.59603582613076
CRY01,final_outcome_yes,base_rate,pure,461,283,264,-23292.704493307087,-2.329270449330709,-0.5052647395511298,0.10845986984815618,-50.526473955112984,23474.86656197221,114.39912051290256
CRY01,final_outcome_yes,gbm,pure,102,77,54,1910.4751858171417,0.19104751858171418,0.18730148880560213,0.8137254901960784,18.73014888056021,325.77222558531633,60.905151132740436
CRY01,final_outcome_yes,limix_16m,pure,16,12,13,2322.674017790857,0.2322674017790857,1.4516712611192855,0.9375,145.16712611192855,100.0,294.28683484330816
CRY01,final_outcome_yes,limix_cal,pure,151,85,49,-7038.663788543771,-0.7038663788543771,-0.4661366747379981,0.23841059602649006,-46.61366747379981,8404.86165632505,111.50200413132715
CRY01,final_outcome_yes,logistic,pure,72,48,34,820.4728063922051,0.08204728063922051,0.11395455644336183,0.7916666666666666,11.395455644336183,203.8357967409171,52.06567352840968
CRY01,final_outcome_yes,market,pure,0,0,0,0.0,0.0,,,,0.0,
CRY01,final_outcome_yes,xgboost,pure,16,15,14,161.7266244686447,0.01617266244686447,0.10107914029290294,0.6875,10.107914029290294,158.74245093951336,49.24343350706609
CRY02,final_outcome_yes,limix,pure,14,0,1,-446.24384236453204,-0.04462438423645321,-0.31874560168895144,0.2857142857142857,-31.874560168895147,900.0,117.80994363809342
CRY02,final_outcome_yes,base_rate,pure,11,1,0,-64.84140334014174,-0.006484140334014174,-0.058946730309219764,0.36363636363636365,-5.894673030921976,700.0,134.5632364166376
CRY02,final_outcome_yes,gbm,pure,14,1,1,-948.4539270253556,-0.09484539270253556,-0.6774670907323969,0.14285714285714285,-67.74670907323969,948.4539270253556,76.55263223354747
CRY02,final_outcome_yes,limix_16m,pure,2,0,1,307.3275862068965,0.03073275862068965,1.5366379310344827,1.0,153.66379310344826,0.0,128.92507260427138
CRY02,final_outcome_yes,limix_64m,pure,2,0,1,307.3275862068965,0.03073275862068965,1.5366379310344827,1.0,153.66379310344826,0.0,128.92507260427138
CRY02,final_outcome_yes,limix_cal,pure,11,1,1,12.486316365626692,0.0012486316365626692,0.011351196696024265,0.45454545454545453,1.1351196696024266,400.0,125.73315431689015
CRY02,final_outcome_yes,logistic,pure,6,0,0,-600.0,-0.06,-1.0,0.0,-100.0,600.0,8.987733679556355e-15
CRY02,final_outcome_yes,market,pure,0,0,0,0.0,0.0,,,,0.0,
CRY02,final_outcome_yes,xgboost,pure,3,0,1,-268.36734693877554,-0.026836734693877554,-0.8945578231292518,0.0,-89.45578231292518,268.36734693877554,18.263120760080003
DOM01,target_delta_24h,limix,pure,82,497,0,-749.346954715888,-0.0749346954715888,-0.0913837749653522,0.34146341463414637,-9.13837749653522,1382.5057076682006,62.02127574488622
DOM01,target_delta_24h,base_rate,pure,170,1599,0,-410.69041713814636,-0.04106904171381463,-0.02415825983165567,0.27647058823529413,-2.4158259831655666,3029.3318100147544,89.20065861421176
DOM01,target_delta_24h,price_unchanged,pure,0,0,0,0.0,0.0,,,,0.0,
DOM01,target_delta_24h,mean_reversion,pure,52,371,0,1067.4531797829522,0.10674531797829523,0.20527945765056774,0.4423076923076923,20.527945765056774,875.4982091059367,143.55904163165943
